Year	# Authors	Order	Article	Google Scholar Code
1997	3	3	Adams1997Ecology	UeHWp8X0CEIC
1997	1	1	Rosenberg1997JCrustBiol	8k81kl-MbHgC
1997	3	1	Rosenberg1997MetaWin1	ypzvKOdbExQC
1997	1	1	Rosenberg1997QRB	sYWh8IhQ1GMC
1997	4	3	Sokal1997AmJHumBiol	4DMP91E08xMC
1997	4	3	Sokal1997PNAS	4TOpqqG69KYC
1998	2	2	Adams1998SystBiol	roLk4NBRz8UC
1998	1	1	Rosenberg1998QRB	IMJZBBnUFLgC
1999	4	1	Rosenberg1999EurJEpidem	kNdYIx-mwKoC
2000	1	1	Rosenberg2000GeogrAnal	ULOm3_A8WrAC
2000	3	1	Rosenberg2000MetaWin2	l0_JBNIuc60C
2000	1	1	Rosenberg2000Thesis	mVmsd5A6BfQC
2000	4	3	Sokal2000PNAS	qxL8FJ1GzNcC
2000	4	3	Sokal2000Poster	FPJr55Dyh1AC
2001	1	1	Rosenberg2001JCrustBiol	ufrVoPGSRksC
2001	2	1	Rosenberg2001MBE	0EnyYjriUFMC
2001	1	1	Rosenberg2001Passage1	dJ-sGqsME_YC
2001	2	1	Rosenberg2001PNAS	qjMakFHDy7sC
2002	6	6	Dale2002Ecography	2osOgNQ5qMEC
2002	9	9	Dungan2002Ecography	d1gkVwhDpl0C
2002	7	3	Perry2002Ecography	9yKSN-GCB0IC
2002	1	1	Rosenberg2002BiolJLinnSoc	LkGwnXOMwfcC
2003	11	2	Hyatt2003Oikos	Y0pCki6q_DkC
2003	2	1	Rosenberg2003MBE610	_FxGoFyzp5QC
2003	3	1	Rosenberg2003MBE988	Se3iqnhoufwC
2003	2	1	Rosenberg2003SystBiol	eQOLeE2rZwMC
2004	1	1	Rosenberg2004JVegSci	YOwf2qJgpHMC
2004	4	1	Rosenberg2004Phytopath	Zph67rFs4hoC
2004	4	3	Sokal2004AmJHumBiol	Wp0gIr-vW9MC
2005	3	2	Gadagkar2005JExpZool	W7OEmFMy1HYC
2005	1	1	Rosenberg2005BMCBioinfo102	3fE2CSJIrl8C
2005	1	1	Rosenberg2005BMCBioinfo278	5nxA0vEk-isC
2005	1	1	Rosenberg2005EvolBioinfo	KlAtU1dfN6UC
2005	1	1	Rosenberg2005Evolution	Tyk-4Ss8FVUC
2005	1	1	Rosenberg2005JIR	hMod-77fHWUC
2006	2	2	Ogden2006SystBiol	WF5omc3nYNoC
2007	3	2	Ainsworth2007NewPhytol	aqlVkmm33-oC
2007	2	2	Ogden2007MPE	hqOjcs7Dif8C
2007	2	2	Ogden2007SystBiol	UebtZRa9Y70C
2008	5	4	Dowling2008Report	JV2RwH3_ST0C
2008	3	2	Pfister2008Poster	hCrLmN-GePgC
2009	4	3	Pfister2009Poster	ClCfbGk0d_YC
2009	1	1	Rosenberg2009Book	QIV2ME_5wuYC
2009	1	1	Rosenberg2009ChapIntro	M3NEmzRMIkIC
2009	2	1	Rosenberg2009ChapSimulation	maZDTaKrznsC
2010	8	6	Anderson2010MolEcol	_kc_bZDykSQC
2010	11	5	Epperson2010MolEcol	MXK_kJrjxJIC
2010	9	6	Manel2010MolEcol	HDshCWvjkbEC
2010	14	3	Niehuis2010PLoSONE	M3ejUd6NZC8C
2010	6	4	Pearson2010ConservBiol	9ZlFYXVOiuMC
2010	1	1	Rosenberg2010PLoSONE	RHpTSmoSYBkC
2011	2	2	Anderson2011JHerp	k_IJM867U9cC
2011	3	2	Chen2011BMCBioinfo	TQgYirikUcIC
2011	4	3	Chen2011Handbook	7PzlFSSx8tAC
2011	2	1	Rosenberg2011MethEcolEvol	YsMSGLbcyi4C
2012	3	2	Perez2012BiolJLinnSoc	MLfJN-KU85MC
2013	4	3	Jennions2013PubBias	ruyezt5ZtCIC
2013	5	2	Lajeunesse2013MAPhylogenetic	q3CdL3IzO_QC
2013	7	1	Rosenberg2013MAEffect	XoXfffV-tXoC
2013	6	1	Rosenberg2013MEMoments	foquWX3nUaYC
2013	1	1	Rosenberg2013Zootaxa	5qfkUJPXOUwC
2013	28	17	Stoltzfus2013BMCBioinfo	edDO8Oi4QzsC
2014	1	1	Rosenberg2014ImpactFactor	kuK5TVdYjLIC
2014	1	1	Rosenberg2014PLoSONE	Ri6SYOTghG4C
2015	4	4	Dowling2015PLoSONE	rEjdzzKT7SMC
2015	5	3	Luque2015Poster	CmeMDzcFUg4C
2015	1	1	Rosenberg2015IntJGeoInfSci	9xDRhSErrBIC
2016	8	4	Honap2016Poster	5y95FQUaxGgC
2016	2	1	Rosenberg2016OxfordBib	RELVpAr6_7wC
2017	8	2	Stoltzfus2017F1000Research	iRaVAuoZnuIC
2018	10	9	Honap2018PLOSTropNegDis	2168PZyDXAcC
2018	8	4	Honap2018Poster	FS78WRl2AkQC
2018	7	4	Luque2018JSystPaleo	yifHVNw3tWEC
2018	4	3	Odhano2018Abstract	mYLs_rVKHI4C
2018	1	1	Rosenberg2018JCrustBiol	W6h41lW4BooC
2019	1	1	Rosenberg2019JCrustBiol	t6hKUfryX1MC
2020	1	1	Rosenberg2020JCrustBiol	brChLMnLtjYC
2021	5	4	Rivera2021EcolEvol	lIaPce-xyHYC
2021	6	4	Tassone2021EvolApp	ILCMxgzxjrQC
2022	5	3	Castillo2022EvolEduOutr	SAguW2jnL4UC
2022	4	3	Odhano2022OFOAJ	FuNQ1RLggQIC
