Year	# Authors	Order	Article	GoogleScholar
1997	1	1	Rosenberg1997JCrustBiol	5820770123638786685
1997	3	3	Adams1997Ecology	2529950275587397368
1997	4	3	Sokal1997AmJHumBiol	12934648619486571085
1997	4	3	Sokal1997PNAS	7523457028583926632
1997	3	1	Rosenberg1997MetaWin1	8279180903341398913
1998	2	2	Adams1998SystBiol	13470482757973520783
1999	4	1	Rosenberg1999EurJEpidem	3089065398588627561
2000	4	3	Sokal2000PNAS	3390867939153274167
2000	1	1	Rosenberg2000GeogrAnal	9178585682691551312
2000	3	1	Rosenberg2000MetaWin2	1450698162152310102,16651605591050903838,17121220748752244606,11590860439158771579,8894126737104999333,465000687087518089,5112987384705047847
2000	1	1	Rosenberg2000Thesis	8438660945628549629
2000	4	3	Sokal2000Poster	.
2001	1	1	Rosenberg2001JCrustBiol	9618897769534520163
2001	2	1	Rosenberg2001MBE	12223023412773104521
2001	2	1	Rosenberg2001PNAS	15586634321948555559
2001	1	1	Rosenberg2001Passage1	10259714402587931162,13617214615084532698,12013384035045648051
2002	1	1	Rosenberg2002BiolJLinnSoc	12267800932933000964
2002	6	6	Dale2002Ecography	15171110353924835247
2002	7	3	Perry2002Ecography	12874979015765243257
2002	9	9	Dungan2002Ecography	4931250743549056312
2003	2	1	Rosenberg2003SystBiol	1525835959113306773,8582803843683595263
2003	2	1	Rosenberg2003MBE610	1034637154917695218
2003	3	1	Rosenberg2003MBE988	11138585078038175059
2003	11	2	Hyatt2003Oikos	14904155019866726323
2004	4	3	Sokal2004AmJHumBiol	1123487097603291034
2004	1	1	Rosenberg2004JVegSci	10011318210491016055
2004	4	1	Rosenberg2004Phytopath	13838414140530821618
2005	3	2	Gadagkar2005JExpZool	1827212528102596135
2005	1	1	Rosenberg2005Evolution	16560319105504926243
2005	1	1	Rosenberg2005BMCBioinfo102	3478679365963087626
2005	1	1	Rosenberg2005EvolBioinfo	2911235060106377352,15654367008367809692
2005	1	1	Rosenberg2005BMCBioinfo278	5303878965922597613
2006	2	2	Ogden2006SystBiol	14819871166636379846
2007	2	2	Ogden2007MPE	6677356601922377793
2007	2	2	Ogden2007SystBiol	16134016346326076073
2007	3	2	Ainsworth2007NewPhytol	593326050778705611
2008	5	4	Dowling2008Report	1139168613263083084
2008	3	2	Pfister2008Poster	6082742763827963186
2009	1	1	Rosenberg2009Book	11356258856342319490
2009	1	1	Rosenberg2009ChapIntro	16273198177942119731
2009	2	1	Rosenberg2009ChapSimulation	1640317645108310288
2009	4	3	Pfister2009Poster	.
2010	14	3	Niehuis2010PLoSONE	16298595740265581887
2010	6	4	Pearson2010ConservBiol	18143687835443121606,2650426702595826270
2010	1	1	Rosenberg2010PLoSONE	7903369478307434375
2010	11	5	Epperson2010MolEcol	5376072055331079767
2010	8	6	Anderson2010MolEcol	10968652011067954309
2010	9	6	Manel2010MolEcol	13102569076248667212
2011	2	2	Anderson2011JHerp	91277212232459446,10489032409457357801
2011	2	1	Rosenberg2011MethEcolEvol	12480068626253116047,8651933093376463528
2011	4	3	Chen2011Handbook	6582498250195925622
2011	3	2	Chen2011BMCBioinfo	11709597162154481552
2012	3	2	Perez2012BiolJLinnSoc	2142864939275489867
2013	28	17	Stoltzfus2013BMCBioinfo	4258229109800634013,14038757173012118075
2013	1	1	Rosenberg2013Zootaxa	715953153534851354
2013	4	3	Jennions2013PubBias	2404891629013010534,15434633800688867587
2013	5	2	Lajeunesse2013MAPhylogenetic	18157058152499994367,6136277179387669669
2013	6	1	Rosenberg2013MEMoments	529320349360335086
2013	7	1	Rosenberg2013MAEffect	14305315185488678896
2014	1	1	Rosenberg2014PLoSONE	17023871614370855263
2014	1	1	Rosenberg2014ImpactFactor	14251377145761721681
2015	4	4	Dowling2015PLoSONE	9693823013509358172
2015	5	3	Luque2015Poster	2350818827945672910
2015	1	1	Rosenberg2015IntJGeoInfSci	8655143941637173916
2016	2	1	Rosenberg2016OxfordBib	8875073245916327896
2016	8	4	Honap2016Poster	.
2017	8	2	Stoltzfus2017F1000Research	9534778173234763245,11462898241354644739,10139064258806876655
2018	7	4	Luque2018JSystPaleo	13057271805149453733
2018	10	9	Honap2018PLOSTropNegDis	13226593418040159479,12510544969285548140
2018	8	4	Honap2018Poster	.
2018	1	1	Rosenberg2018JCrustBiol	142631230330460097
2019	1	1	Rosenberg2019JCrustBiol	14757218700943093660
2020	1	1	Rosenberg2020JCrustBiol	11553845507001662064
