Year	# Authors	Order	Article	GoogleScholar
1999	4	1	Rosenberg1999EurJEpidem	3089065398588627561
2002	1	1	Rosenberg2002BiolJLinnSoc	12267800932933000964
2003	2	1	Rosenberg2003SystBiol	1525835959113306773,8582803843683595263
2003	2	1	Rosenberg2003MBE610	1034637154917695218
2003	3	1	Rosenberg2003MBE988	11138585078038175059
2003	11	2	Hyatt2003Oikos	14904155019866726323
2004	1	1	Rosenberg2004JVegSci	10011318210491016055
2004	4	1	Rosenberg2004Phytopath	13838414140530821618
2005	3	2	Gadagkar2005JExpZool	1827212528102596135
2005	1	1	Rosenberg2005Evolution	16560319105504926243
2005	1	1	Rosenberg2005BMCBioinfo102	3478679365963087626
2005	1	1	Rosenberg2005BMCBioinfo278	5303878965922597613
2006	2	2	Ogden2006SystBiol	14819871166636379846
2007	2	2	Ogden2007SystBiol	16134016346326076073
2007	3	2	Ainsworth2007NewPhytol	593326050778705611
2009	1	1	Rosenberg2009Book	11356258856342319490
2009	1	1	Rosenberg2009ChapIntro	16273198177942119731
2010	14	3	Niehuis2010PLoSONE	16298595740265581887
2010	11	5	Epperson2010MolEcol	5376072055331079767
2010	8	6	Anderson2010MolEcol	10968652011067954309
2010	9	6	Manel2010MolEcol	13102569076248667212
