Year	# Authors	Order	Article	12/31/1997	12/31/1998	12/31/1999	12/31/2000	12/31/2001	12/31/2002	12/31/2003	12/31/2004	12/31/2005	12/31/2006	12/31/2007	12/31/2008	12/31/2009	12/31/2010	12/31/2011	12/31/2012	12/31/2013	12/31/2014	12/31/2015	12/31/2016	12/31/2017	12/31/2018	12/31/2019	12/31/2020	12/31/2021		Year Total	Total
1999	4	1	Rosenberg1999EurJEpidem	n/a	n/a	0	2	1	1	1	1	4	2	8	5	3	6	2	7	3	2	5	1	4	3	4	0	0		65	66
2002	1	1	Rosenberg2002BiolJLinnSoc	n/a	n/a	n/a	n/a	n/a	1	4	4	6	8	9	5	6	13	6	12	12	11	7	14	8	11	10	12	1		160	160
2003	2	1	Rosenberg2003SystBiol	n/a	n/a	n/a	n/a	n/a	n/a	5	14	15	10	11	11	5	8	9	7	4	7	0	4	5	6	4	6	1		132	132
2003	2	1	Rosenberg2003MBE610	n/a	n/a	n/a	n/a	n/a	n/a	0	11	7	9	9	4	3	3	5	3	1	3	3	3	5	11	3	4	2		89	89
2003	3	1	Rosenberg2003MBE988	n/a	n/a	n/a	n/a	n/a	n/a	1	1	5	3	6	8	7	3	9	7	1	7	2	6	4	7	17	7	3		104	105
2003	11	2	Hyatt2003Oikos	n/a	n/a	n/a	n/a	n/a	n/a	1	5	11	9	17	24	21	20	21	16	27	25	23	13	10	5	15	15	1		279	280
2004	1	1	Rosenberg2004JVegSci	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	3	4	2	2	3	12	3	5	5	5	5	2	5	4	3	2	0		65	65
2004	4	1	Rosenberg2004Phytopath	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	3	2	4	4	2	7	4	5	5	8	4	5	5	1	10	0		72	73
2005	3	2	Gadagkar2005JExpZool	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	19	13	20	26	26	18	26	26	34	30	27	28	20	34	46	2		401	402
2005	1	1	Rosenberg2005Evolution	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	11	15	18	25	28	33	31	83	47	52	65	60	78	75	107	4		737	737
2005	1	1	Rosenberg2005BMCBioinfo102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	10	7	3	4	5	0	4	2	3	3	3	1	2	4	1	0		54	54
2005	1	1	Rosenberg2005BMCBioinfo278	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	6	9	6	5	5	3	2	5	1	2	3	1	2	2	1	0		54	54
2006	2	2	Ogden2006SystBiol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	15	20	21	16	16	16	16	13	17	21	15	12	24	21	1		247	247
2007	2	2	Ogden2007SystBiol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	10	16	8	9	10	5	7	1	8	5	1	3	0	0		83	83
2007	3	2	Ainsworth2007NewPhytol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	2	4	3	2	1	4	0	3	0	0	1	1	1	0		22	22
2009	1	1	Rosenberg2009Book	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	5	4	9	10	6	13	4	5	6	7	3	0		72	72
2009	1	1	Rosenberg2009ChapIntro	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	1	1	3	3	0	0	2	2	0	1	0	0		13	14
2010	14	3	Niehuis2010PLoSONE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	14	5	5	8	6	3	5	4	3	4	5	0		62	62
2010	11	5	Epperson2010MolEcol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18	7	27	40	21	20	18	12	10	5	11	0		189	191
2010	8	6	Anderson2010MolEcol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	20	43	47	33	42	39	37	29	35	27	1		370	374
2010	9	6	Manel2010MolEcol	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	8	21	52	37	35	34	17	28	20	18	0		278	278
